player_name,poss,mp,raptor_offense,raptor_defense,raptor_total
Jordan Clarkson,4164,1988,2.231681335,-2.780956364,-0.54927503
Nic Claxton,4890,2388,-0.440591638,2.416752343,1.976160704
Amir Coffey,1320,626,-3.964200191,-3.000614656,-6.964814847
John Collins,4907,2294,-2.53181687,-0.343034327,-2.874851197
Zach Collins,3124,1441,-1.477724091,1.696396033,0.218671941
Chance Comanche,45,21,-6.568343845,-17.04528576,-23.6136296
Mike Conley,4597,2212,2.468265684,-0.129261294,2.339004391
Pat Connaughton,3300,1531,-0.287980717,0.882725481,0.594744764
Xavier Cooks,285,126,-3.280297218,0.19087968,-3.089417538
Robert Covington,1659,791,-0.49172558,1.044707493,0.552981913
Torrey Craig,4428,2131,-1.25466186,-0.34459816,-1.59926002
Jae Crowder,832,381,0.063632151,1.437750522,1.501382673
Jarrett Culver,296,137,-2.907112022,1.344483462,-1.562628561
Cade Cunningham,853,400,-2.193227122,-1.431240788,-3.62446791
Seth Curry,2641,1269,-0.753507426,-2.051279125,-2.804786551
Stephen Curry,5300,2434,7.483711948,-1.165317704,6.318394244
Dyson Daniels,2240,1042,-3.065481531,2.983391018,-0.082090513
Anthony Davis,5327,2512,2.511726349,4.736996561,7.24872291
JD Davison,140,66,-2.349352871,0.246751489,-2.102601383
Johnny Davis,905,423,-4.723065149,-1.602042855,-6.325108004
Terence Davis,1951,899,-0.22836073,-0.211227224,-0.439587954
Darius Days,53,25,4.125246014,-0.128852159,3.996393855
Dewayne Dedmon,920,431,-3.216559866,0.377745138,-2.838814727
Matthew Dellavedova,474,213,-4.150498927,3.582748738,-0.567750189
DeMar DeRozan,5577,2682,2.216730412,0.425398708,2.64212912
Moussa Diabate,416,195,-1.615114535,0.520151547,-1.094962988
Mamadi Diakite,352,176,-6.854759698,-2.798254048,-9.653013746
Hamidou Diallo,2138,996,-1.307001866,3.219553626,1.91255176
Gorgui Dieng,769,358,-6.344585584,-2.307012261,-8.651597845
Ousmane Dieng,1217,569,-2.378385591,-2.418636613,-4.797022204
Spencer Dinwiddie,5768,2884,1.7230818,-1.108859373,0.614222427
Donte DiVincenzo,4626,2129,-0.332419533,2.46372091,2.131301377
Luka Doncic,4863,2391,8.272469954,-0.448861942,7.823608013
