offense_shortened,offense_decimal,defense_shortened,defense_decimal,total_shortened,total_decimal
[0.0],[0.641238488],[0.0],[[0.641238488]],[0.0],[0.641238488]
[1.0],[0.09235408100000009],[1.0],[[0.09235408100000009]],[1.0],[0.09235408100000009]
[1.0],[0.938167754],[1.0],[[0.938167754]],[1.0],[0.938167754]
[-1.0],[0.40767425],[-1.0],[[0.40767425]],[-1.0],[0.40767425]
[-8.0],[0.7416310209999999],[-8.0],[[0.7416310209999999]],[-8.0],[0.7416310209999999]
[-1.0],[0.19386525899999996],[-1.0],[[0.19386525899999996]],[-1.0],[0.19386525899999996]
[-1.0],[0.09829946],[-1.0],[[0.09829946]],[-1.0],[0.09829946]
[-1.0],[0.12143954199999996],[-1.0],[[0.12143954199999996]],[-1.0],[0.12143954199999996]
[-28.0],[0.126583440000001],[-28.0],[[0.126583440000001]],[-28.0],[0.126583440000001]
[23.0],[0.28730024000000043],[23.0],[[0.28730024000000043]],[23.0],[0.28730024000000043]
[-1.0],[0.39341665400000003],[-1.0],[[0.39341665400000003]],[-1.0],[0.39341665400000003]
[-1.0],[0.27967321599999995],[-1.0],[[0.27967321599999995]],[-1.0],[0.27967321599999995]
[-3.0],[0.410605377],[-3.0],[[0.410605377]],[-3.0],[0.410605377]
[0.0],[0.185195049],[0.0],[[0.185195049]],[0.0],[0.185195049]
[-1.0],[0.5164861000000001],[-1.0],[[0.5164861000000001]],[-1.0],[0.5164861000000001]
[-3.0],[0.5972175659999999],[-3.0],[[0.5972175659999999]],[-3.0],[0.5972175659999999]
[-3.0],[0.46815563000000004],[-3.0],[[0.46815563000000004]],[-3.0],[0.46815563000000004]
[0.0],[0.03097859],[0.0],[[0.03097859]],[0.0],[0.03097859]
[-9.0],[0.5225329789999993],[-9.0],[[0.5225329789999993]],[-9.0],[0.5225329789999993]
[3.0],[0.17123728400000005],[3.0],[[0.17123728400000005]],[3.0],[0.17123728400000005]
[-6.0],[0.9865457510000004],[-6.0],[[0.9865457510000004]],[-6.0],[0.9865457510000004]
[2.0],[0.2253111510000001],[2.0],[[0.2253111510000001]],[2.0],[0.2253111510000001]
[-3.0],[0.3757368950000002],[-3.0],[[0.3757368950000002]],[-3.0],[0.3757368950000002]
[-4.0],[0.08455109500000013],[-4.0],[[0.08455109500000013]],[-4.0],[0.08455109500000013]
[0.0],[0.329350476],[0.0],[[0.329350476]],[0.0],[0.329350476]
[1.0],[0.029985707000000028],[1.0],[[0.029985707000000028]],[1.0],[0.029985707000000028]
[-4.0],[0.6315111710000001],[-4.0],[[0.6315111710000001]],[-4.0],[0.6315111710000001]
[1.0],[0.037717781000000006],[1.0],[[0.037717781000000006]],[1.0],[0.037717781000000006]
[-3.0],[0.9514639900000001],[-3.0],[[0.9514639900000001]],[-3.0],[0.9514639900000001]
[4.0],[0.8719400889999998],[4.0],[[0.8719400889999998]],[4.0],[0.8719400889999998]
[0.0],[0.607970377],[0.0],[[0.607970377]],[0.0],[0.607970377]
[-3.0],[0.7288734749999999],[-3.0],[[0.7288734749999999]],[-3.0],[0.7288734749999999]
[-3.0],[0.9370816710000001],[-3.0],[[0.9370816710000001]],[-3.0],[0.9370816710000001]
