name,posessions,minutes,offense,defense,total
Darius Days,53,25,4.0,-1.0,3.0
Dewayne Dedmon,920,431,-4.0,0.0,-3.0
Matthew Dellavedova,474,213,-5.0,3.0,-1.0
DeMar DeRozan,5577,2682,2.0,0.0,2.0
Moussa Diabate,416,195,-2.0,0.0,-2.0
Mamadi Diakite,352,176,-7.0,-3.0,-10.0
Hamidou Diallo,2138,996,-2.0,3.0,1.0
Gorgui Dieng,769,358,-7.0,-3.0,-9.0
Ousmane Dieng,1217,569,-3.0,-3.0,-5.0
Spencer Dinwiddie,5768,2884,1.0,-2.0,0.0
Donte DiVincenzo,4626,2129,-1.0,2.0,2.0
Luka Doncic,4863,2391,8.0,-1.0,7.0
Tyler Dorsey,16,8,13.0,9.0,22.0
Luguentz Dort,4874,2272,-1.0,2.0,1.0
Ayo Dosunmu,4405,2098,-3.0,0.0,-3.0
Devon Dotson,108,53,-5.0,5.0,0.0
Jeff Dowtin Jr.,523,259,-1.0,-1.0,-2.0
PJ Dozier,181,85,-6.0,7.0,1.0
Goran Dragic,1885,877,-2.0,-3.0,-4.0
Andre Drummond,1799,849,-2.0,2.0,1.0
Chris Duarte,1918,897,-2.0,-1.0,-2.0
David Duke Jr.,495,233,-4.0,1.0,-2.0
Kris Dunn,1245,568,2.0,-3.0,-1.0
Kevin Durant,4410,2138,4.0,0.0,4.0
Jalen Duren,3489,1670,-2.0,0.0,-2.0
Tari Eason,3753,1767,-1.0,1.0,0.0
Anthony Edwards,6418,3041,2.0,0.0,2.0
Kessler Edwards,834,392,-1.0,-1.0,-2.0
Keon Ellis,147,71,0.0,-2.0,-2.0
Joel Embiid,5286,2620,3.0,4.0,7.0
Drew Eubanks,3311,1584,-2.0,0.0,-2.0
Bruno Fernando,844,405,-3.0,1.0,-1.0
Dorian Finney-Smith,4251,2110,-3.0,1.0,-1.0
Malachi Flynn,1426,691,-2.0,-3.0,-5.0
Simone Fontecchio,1675,766,-4.0,-5.0,-9.0
Bryn Forbes,580,268,-4.0,-5.0,-9.0
Trent Forrest,586,277,-4.0,-2.0,-6.0
Michael Foster Jr.,2,1,-17.0,6.0,-11.0
Evan Fournier,961,459,-3.0,-3.0,-5.0
De'Aaron Fox,5829,2705,4.0,-2.0,2.0
Markelle Fultz,3750,1778,-1.0,-1.0,-1.0
Wenyen Gabriel,2298,1061,-2.0,1.0,-1.0
Daniel Gafford,3338,1604,0.0,-1.0,0.0
Darius Garland,5317,2636,3.0,0.0,4.0
Usman Garuba,2070,970,-3.0,0.0,-3.0
Luka Garza,539,243,4.0,-4.0,0.0
Rudy Gay,1753,816,-3.0,-1.0,-4.0
Paul George,3977,1939,3.0,1.0,4.0
Taj Gibson,995,480,-3.0,-1.0,-4.0
Josh Giddey,5088,2367,-1.0,-3.0,-3.0
Shai Gilgeous-Alexander,5208,2416,5.0,0.0,5.0
Anthony Gill,1320,624,-2.0,-3.0,-4.0
Jacob Gilyard,87,41,-4.0,-4.0,-7.0
Rudy Gobert,4837,2325,-2.0,3.0,1.0
Jordan Goodwin,2345,1106,-1.0,1.0,0.0
Aaron Gordon,5715,2768,1.0,0.0,2.0
Eric Gordon,4498,2114,-1.0,-4.0,-4.0
Devonte' Graham,2848,1338,0.0,-2.0,-1.0
Jerami Grant,4636,2246,0.0,-1.0,-1.0
RaiQuan Gray,73,35,-3.0,-3.0,-6.0
AJ Green,740,345,0.0,-3.0,-2.0
Danny Green,366,178,-4.0,0.0,-4.0
Draymond Green,5768,2664,-1.0,3.0,2.0
JaMychal Green,1852,846,-2.0,-2.0,-4.0
Javonte Green,1023,480,-1.0,3.0,3.0
Jalen Green,5456,2602,1.0,-3.0,-2.0
Jeff Green,2943,1434,-4.0,-2.0,-6.0
Josh Green,3173,1539,-2.0,1.0,-1.0
AJ Griffin,2997,1401,0.0,-1.0,-1.0
Blake Griffin,1197,575,-2.0,5.0,4.0
Quentin Grimes,4807,2363,0.0,-1.0,0.0
Rui Hachimura,3939,1854,-2.0,0.0,-2.0
Tyrese Haliburton,3980,1883,6.0,-1.0,5.0
Jordan Hall,176,83,-10.0,-6.0,-15.0
R.J. Hampton,1558,750,-2.0,-2.0,-4.0
Tim Hardaway Jr.,4367,2152,1.0,1.0,2.0
James Harden,5091,2562,4.0,-1.0,4.0
Jaden Hardy,1495,708,-1.0,-3.0,-4.0
Ron Harper Jr.,98,48,6.0,-1.0,5.0
Montrezl Harrell,1451,688,-2.0,2.0,1.0
Gary Harris,2478,1184,0.0,-2.0,-1.0
Joe Harris,3276,1571,-1.0,-2.0,-3.0
Kevon Harris,960,457,-2.0,0.0,-2.0
Shaquille Harrison,320,148,3.0,0.0,3.0
Tobias Harris,5657,2828,0.0,-1.0,-1.0
Isaiah Hartenstein,3824,1846,-2.0,3.0,1.0
Josh Hart,5752,2807,1.0,1.0,2.0
Udonis Haslem,161,74,-7.0,5.0,-2.0
Sam Hauser,2946,1394,1.0,0.0,2.0
Jaxson Hayes,1300,610,-4.0,0.0,-4.0
Killian Hayes,4498,2154,-3.0,0.0,-3.0
Gordon Hayward,3384,1577,-2.0,0.0,-2.0
Juancho Hernangomez,1269,614,-3.0,-2.0,-4.0
Willy Hernangomez,995,458,-2.0,1.0,-1.0
Tyler Herro,4772,2356,1.0,-2.0,-1.0
Buddy Hield,5277,2482,1.0,-1.0,1.0
Haywood Highsmith,2307,1130,-4.0,1.0,-2.0
George Hill,1777,834,-2.0,0.0,-1.0
Malcolm Hill,23,9,-3.0,3.0,0.0
Aaron Holiday,1826,849,-2.0,2.0,1.0
Jrue Holiday,5086,2374,3.0,2.0,5.0
Justin Holiday,1536,706,-5.0,-3.0,-7.0
Richaun Holmes,743,348,-4.0,-5.0,-9.0
Al Horford,5234,2539,-1.0,2.0,1.0
Talen Horton-Tucker,2830,1313,-2.0,-1.0,-2.0
Danuel House Jr.,1786,849,-2.0,-2.0,-4.0
Caleb Houstan,1703,812,-3.0,-3.0,-5.0
Trevor Hudgins,57,28,-5.0,-2.0,-7.0
Kevin Huerter,5006,2386,1.0,-2.0,0.0
Jay Huff,214,95,2.0,-4.0,-2.0
De'Andre Hunter,5026,2350,-2.0,-1.0,-3.0
Bones Hyland,2412,1167,1.0,-2.0,-1.0
Serge Ibaka,382,185,-6.0,0.0,-5.0
Andre Iguodala,256,113,-2.0,1.0,-1.0
Joe Ingles,2456,1133,0.0,-2.0,-1.0
Brandon Ingram,3168,1538,1.0,-1.0,0.0
Kyrie Irving,4597,2241,5.0,0.0,5.0
Jonathan Isaac,257,124,2.0,3.0,5.0
Jaden Ivey,4824,2304,-2.0,-4.0,-6.0
Frank Jackson,9,5,-23.0,0.0,-22.0
Isaiah Jackson,2265,1042,-3.0,-1.0,-4.0
Jaren Jackson Jr.,4310,2007,0.0,2.0,3.0
Justin Jackson,226,107,-7.0,-2.0,-9.0
Quenton Jackson,302,135,-3.0,1.0,-1.0
Reggie Jackson,3436,1675,-3.0,-1.0,-3.0
LeBron James,5487,2573,4.0,0.0,4.0
DaQuan Jeffries,12,5,-18.0,19.0,2.0
Ty Jerome,1739,816,0.0,-4.0,-4.0
Isaiah Joe,3006,1395,2.0,0.0,2.0
Alize Johnson,64,30,-5.0,15.0,10.0
Cameron Johnson,2765,1351,1.0,2.0,3.0
James Johnson,353,162,-8.0,-3.0,-10.0
Jalen Johnson,2361,1098,-1.0,1.0,0.0
Keldon Johnson,4372,2063,0.0,-3.0,-2.0
Keon Johnson,890,416,-4.0,-4.0,-8.0
Stanley Johnson,1015,469,1.0,-3.0,-1.0
Nikola Jokic,6435,3112,9.0,3.0,13.0
Carlik Jones,121,56,-1.0,-4.0,-4.0
Damian Jones,1042,477,-4.0,2.0,-2.0
Derrick Jones Jr.,1888,893,-1.0,1.0,1.0
Herbert Jones,4036,1951,-1.0,3.0,2.0
Kai Jones,1170,550,-5.0,0.0,-4.0
Tre Jones,4249,1984,1.0,0.0,1.0
Tyus Jones,4386,2060,1.0,-2.0,-1.0
DeAndre Jordan,1253,600,-6.0,-2.0,-7.0
Cory Joseph,2543,1227,0.0,-2.0,-2.0
Nikola Jovic,450,217,-4.0,-1.0,-5.0
Johnny Juzang,508,232,-6.0,-5.0,-10.0
Mfiondu Kabengele,71,36,-4.0,-7.0,-11.0
Frank Kaminsky,499,235,-2.0,-4.0,-6.0
Trevor Keels,19,8,-20.0,-15.0,-34.0
Luke Kennard,2975,1422,1.0,-1.0,0.0
Walker Kessler,3600,1703,0.0,3.0,3.0
Braxton Key,21,9,-2.0,-1.0,-2.0
Louis King,63,29,5.0,-9.0,-4.0
Corey Kispert,4370,2093,-1.0,-3.0,-3.0
Maxi Kleber,1915,930,-4.0,-1.0,-4.0
Nathan Knight,655,296,-3.0,-2.0,-5.0
Kevin Knox II,2062,952,-3.0,-3.0,-6.0
Christian Koloko,1680,802,-3.0,2.0,-1.0
John Konchar,3305,1543,-1.0,3.0,2.0
Furkan Korkmaz,780,364,-4.0,0.0,-4.0
Luke Kornet,1760,836,-1.0,2.0,1.0
Vit Krejci,347,165,-3.0,-2.0,-4.0
Jonathan Kuminga,3121,1455,-3.0,0.0,-3.0
Kyle Kuzma,4683,2239,-2.0,0.0,-1.0
Anthony Lamb,2618,1226,-2.0,2.0,0.0
Jock Landale,2308,1092,-1.0,3.0,2.0
Romeo Langford,1822,844,-3.0,0.0,-2.0
Jake LaRavia,883,414,-4.0,-2.0,-5.0
Zach LaVine,5749,2768,2.0,-2.0,1.0
A.J. Lawson,239,108,-3.0,-4.0,-7.0
Damion Lee,3353,1595,-2.0,0.0,-1.0
Saben Lee,805,373,-3.0,0.0,-2.0
Alex Len,482,215,-5.0,3.0,-1.0
Kawhi Leonard,3760,1828,4.0,1.0,6.0
Meyers Leonard,256,119,-2.0,-7.0,-9.0
Caris LeVert,4880,2407,-1.0,1.0,1.0
Kira Lewis Jr.,498,235,0.0,-1.0,0.0
Damian Lillard,4380,2107,9.0,-2.0,7.0
Nassir Little,2024,976,-2.0,-3.0,-5.0
Isaiah Livers,2485,1199,-3.0,0.0,-3.0
Kenneth Lofton Jr.,393,188,-1.0,-6.0,-7.0
Kevon Looney,4890,2283,1.0,2.0,3.0
Brook Lopez,5475,2555,-1.0,4.0,4.0
Robin Lopez,633,305,-4.0,-2.0,-6.0
Kevin Love,3298,1599,-1.0,1.0,0.0
Kyle Lowry,4659,2317,1.0,0.0,1.0
Trey Lyles,2933,1365,-1.0,-1.0,-1.0
Theo Maledon,1821,854,-2.0,-2.0,-3.0
Sandro Mamukelashvili,1407,660,-3.0,-4.0,-6.0
Terance Mann,4137,2005,0.0,-1.0,-1.0
Tre Mann,2533,1183,-2.0,-1.0,-3.0
Boban Marjanovic,357,171,0.0,1.0,2.0
Lauri Markkanen,4786,2273,3.0,1.0,4.0
Naji Marshall,3774,1792,-1.0,-1.0,-2.0
Caleb Martin,5599,2771,-1.0,1.0,0.0
Cody Martin,291,134,-1.0,-3.0,-3.0
Kenyon Martin Jr.,4848,2292,-1.0,-4.0,-5.0
Tyrese Martin,137,66,-5.0,-5.0,-10.0
Garrison Mathews,1458,686,-1.0,3.0,2.0
Bennedict Mathurin,4780,2222,-1.0,-2.0,-3.0
Wesley Matthews,1874,861,-3.0,-1.0,-3.0
Tyrese Maxey,4918,2439,2.0,-1.0,1.0
Skylar Mays,418,189,1.0,-5.0,-3.0
Miles McBride,1620,780,-3.0,1.0,-1.0
Mac McClung,92,41,2.0,2.0,5.0
CJ McCollum,5497,2649,1.0,-2.0,-1.0
