name,posessions,minutes,offense,defense,total
John Wall,1615,755,-4.0,-2.0,-5.0
T.J. Warren,1634,768,-2.0,-1.0,-3.0
Duane Washington Jr.,838,394,-1.0,-2.0,-3.0
P.J. Washington,5117,2380,-2.0,-2.0,-4.0
TyTy Washington Jr.,910,433,-4.0,-4.0,-7.0
Yuta Watanabe,1976,933,-2.0,0.0,-1.0
Lindy Waters III,1143,531,0.0,0.0,1.0
Trendon Watford,2475,1182,-2.0,-1.0,-3.0
Peyton Watson,412,200,-5.0,-4.0,-8.0
Blake Wesley,1460,669,-8.0,-4.0,-12.0
Russell Westbrook,5031,2318,0.0,-3.0,-2.0
Coby White,3640,1730,1.0,0.0,1.0
Derrick White,6019,2912,1.0,2.0,4.0
Jack White,134,66,-1.0,2.0,1.0
Joe Wieskamp,108,50,-8.0,4.0,-3.0
Aaron Wiggins,2767,1297,-1.0,-1.0,-2.0
Andrew Wiggins,3527,1632,-1.0,1.0,0.0
Lindell Wigginton,188,87,-1.0,-4.0,-5.0
Alondes Williams,11,5,-28.0,-20.0,-48.0
Donovan Williams,9,4,23.0,20.0,43.0
Grant Williams,4780,2310,-1.0,-1.0,-2.0
Jalen Williams,4906,2276,-1.0,-1.0,-2.0
Jaylin Williams,1946,914,-3.0,2.0,-1.0
Jeenathan Williams,283,127,0.0,-8.0,-7.0
Kenrich Williams,2559,1206,-1.0,2.0,2.0
Mark Williams,1766,828,-3.0,1.0,-2.0
Patrick Williams,4842,2323,-3.0,-1.0,-3.0
Robert Williams III,2571,1241,0.0,1.0,1.0
Vince Williams Jr.,224,105,-9.0,0.0,-9.0
Zion Williamson,2035,956,3.0,0.0,3.0
Ziaire Williams,1227,573,-6.0,2.0,-3.0
Dylan Windler,18,10,2.0,5.0,8.0
Justise Winslow,1599,776,-3.0,1.0,-2.0
James Wiseman,1829,867,-4.0,-5.0,-9.0
Christian Wood,3518,1738,0.0,-1.0,-1.0
Delon Wright,2530,1221,1.0,3.0,4.0
McKinley Wright IV,700,335,-4.0,-1.0,-5.0
Gabe York,118,56,1.0,1.0,2.0
Thaddeus Young,1642,795,-3.0,0.0,-2.0
Trae Young,6020,2771,4.0,-1.0,3.0
Omer Yurtseven,212,99,0.0,-8.0,-7.0
Cody Zeller,801,391,-3.0,-4.0,-7.0
Ivica Zubac,4721,2300,-3.0,1.0,-1.0
